W/T,imageID,C,style,sex,surveyID,train/vali,R_id,Q5
W,15375,80,bold,M,036256,vali,23460,1
W,23848,50,ivy,M,007580,vali,3314,2
W,47169,70,hippie,W,158674,vali,64747,1
W,24141,50,ivy,M,148345,vali,64364,2
W,16430,90,hiphop,M,037030,vali,23779,1
W,15192,00,metrosexual,M,114416,vali,62868,1
W,14221,80,bodyconscious,W,025667,vali,19160,1
W,11423,00,ecology,W,010616,vali,5931,1
W,30027,50,ivy,M,186914,vali,65773,2
W,00625,80,bodyconscious,W,134745,vali,63740,1
W,03732,10,sportivecasual,W,024294,vali,18808,2
W,24838,70,hippie,M,147880,vali,64346,1
W,04636,50,ivy,M,085894,vali,59424,2
W,19967,50,feminine,W,004257,vali,1999,1
T,00456,10,sportivecasual,M,196762,vali,66469,2
W,24931,50,ivy,M,116912,vali,63088,1
W,02816,60,mods,M,142957,vali,64148,2
W,03663,10,sportivecasual,W,120304,vali,63356,2
W,24103,50,ivy,M,161435,vali,64815,2
W,10066,50,ivy,M,118411,vali,63207,1
W,16704,00,metrosexual,M,014583,vali,10596,1
W,00974,10,sportivecasual,W,021054,vali,17391,1
W,12214,70,hippie,M,040199,vali,25446,1
W,15244,80,bold,M,180111,vali,65435,2
W,47862,19,normcore,W,024429,vali,18828,2
W,01000,10,sportivecasual,W,034370,vali,23017,2
W,25020,90,hiphop,M,045550,vali,28371,2
W,28022,50,ivy,M,147536,vali,64327,1
W,14785,00,cityglam,W,079752,vali,58251,2
W,24486,70,hippie,M,039307,vali,24824,1
W,14538,60,space,W,020123,vali,16303,1
W,04396,90,hiphop,M,088095,vali,59778,2
W,06874,90,hiphop,M,120661,vali,63366,1
W,26634,90,hiphop,M,031351,vali,21685,1
W,25411,70,hippie,M,184911,vali,65659,1
W,15270,60,mods,M,211507,vali,67006,2
W,01896,10,sportivecasual,W,123507,vali,63435,2
W,17559,10,sportivecasual,M,117424,vali,63115,1
W,03771,00,oriental,W,047441,vali,28606,1
W,15947,80,bold,M,137675,vali,63913,1
W,30591,50,ivy,M,001804,vali,791,2
W,14828,50,classic,W,160716,vali,64795,1
W,25163,90,hiphop,M,222500,vali,67517,2
W,16505,10,sportivecasual,M,014619,vali,10596,1
W,01549,50,ivy,M,120864,vali,63371,1
W,17623,19,normcore,M,088165,vali,59789,2
W,05716,19,normcore,W,087076,vali,59642,2
W,19205,00,oriental,W,013450,vali,9096,2
W,19430,00,oriental,W,061549,vali,37614,1
W,23904,50,ivy,M,148353,vali,64364,1
W,14272,80,bodyconscious,W,004818,vali,2032,1
W,02816,60,mods,M,144832,vali,64223,1
W,18058,50,classic,W,014147,vali,9928,1
W,02946,10,sportivecasual,M,045423,vali,28345,2
W,25715,10,sportivecasual,M,160880,vali,64799,2
W,13354,50,feminine,W,177578,vali,65285,1
W,07369,90,hiphop,M,138215,vali,63930,2
T,03026,19,normcore,M,095041,vali,60582,2
W,03959,50,classic,W,122507,vali,63411,2
T,14225,00,cityglam,W,072147,vali,52383,1
W,15295,60,mods,M,212452,vali,67035,2
W,15701,90,hiphop,M,048503,vali,28787,1
W,16906,10,sportivecasual,M,100119,vali,61279,2
W,16699,00,metrosexual,M,126681,vali,63505,1
W,01179,10,sportivecasual,W,129720,vali,63576,2
W,17603,50,ivy,M,138375,vali,63934,1
W,00829,10,sportivecasual,M,135058,vali,63748,2
W,09376,00,cityglam,W,134779,vali,63742,1
W,07333,70,hippie,M,153037,vali,64569,2
W,11375,19,normcore,W,079838,vali,58254,1
W,06358,60,minimal,W,093179,vali,60247,2
W,14783,60,minimal,W,079187,vali,58031,1
W,19236,90,grunge,W,078444,vali,57689,2
W,33259,70,hippie,M,154712,vali,64633,1
W,02498,50,feminine,W,158647,vali,64747,1
W,25202,90,hiphop,M,233006,vali,67916,1
W,16362,80,bold,M,138205,vali,63930,1
W,06190,60,mods,M,084073,vali,59083,2
W,27819,70,hippie,M,168124,vali,64977,1
W,11200,00,oriental,W,029853,vali,20768,1
W,15248,50,ivy,M,140352,vali,64025,2
W,52521,50,ivy,M,180189,vali,65436,2
W,10984,50,feminine,W,153410,vali,64580,1
W,37014,60,minimal,W,194949,vali,66392,2
W,33876,60,popart,W,035527,vali,23306,1
W,01853,60,mods,M,087661,vali,59704,2
W,14468,10,sportivecasual,W,005465,vali,2093,2
W,29258,80,bold,M,154721,vali,64633,2
W,05628,00,cityglam,W,040885,vali,25634,1
W,10191,00,oriental,W,122012,vali,63400,1
W,10104,60,mods,M,108254,vali,62251,2
W,38656,10,sportivecasual,W,047687,vali,28669,1
W,07120,19,normcore,M,000198,vali,27,2
W,10251,70,punk,W,106790,vali,62113,2
W,24211,70,hippie,M,176121,vali,65218,1
W,52693,00,metrosexual,M,174207,vali,65139,1
W,03258,00,ecology,W,135498,vali,63759,1
T,15791,10,sportivecasual,W,205968,vali,66791,2
W,04840,50,feminine,W,011099,vali,6684,1
W,14147,70,disco,W,098353,vali,61104,1
W,12453,10,sportivecasual,M,092619,vali,60184,1
W,17697,50,ivy,M,041511,vali,26021,1
W,15370,50,ivy,M,122695,vali,63415,2
W,03663,10,sportivecasual,W,121504,vali,63385,2
W,13518,80,powersuit,W,120401,vali,63359,2
W,27899,70,hippie,M,154745,vali,64633,1
T,06557,90,hiphop,W,088231,vali,59790,2
W,18737,50,feminine,W,204542,vali,66750,2
W,15394,70,hippie,M,233925,vali,68010,1
W,05760,60,minimal,W,034423,vali,23021,1
T,02908,10,sportivecasual,M,247156,vali,68747,2
W,39793,80,powersuit,W,232130,vali,67867,2
W,04973,90,kitsch,W,109433,vali,62361,1
W,03717,10,athleisure,W,122968,vali,63423,1
W,08008,90,hiphop,W,130070,vali,63583,1
W,16034,80,bold,M,034828,vali,23113,1
T,06739,10,sportivecasual,M,064388,vali,44117,2
W,41158,10,sportivecasual,W,159311,vali,64760,2
W,12599,60,mods,M,057006,vali,31880,1
W,31790,00,metrosexual,M,152023,vali,64533,1
W,04643,50,ivy,M,157814,vali,64723,1
W,14272,80,bodyconscious,W,078579,vali,57758,1
W,41341,19,lounge,W,154050,vali,64598,2
W,24486,70,hippie,M,037400,vali,23910,2
W,15701,90,hiphop,M,036839,vali,23701,2
W,13574,90,hiphop,W,123307,vali,63430,1
W,29733,10,sportivecasual,W,203938,vali,66731,1
W,17221,70,hippie,M,187563,vali,65804,1
W,12866,60,mods,M,008382,vali,4035,1
W,09877,50,ivy,M,096764,vali,60874,1
W,06551,60,mods,M,213380,vali,67074,2
W,00842,10,sportivecasual,M,036217,vali,23437,1
W,01896,10,sportivecasual,W,051457,vali,29412,1
W,12725,70,hippie,M,095999,vali,60731,1
W,12615,50,ivy,M,116829,vali,63074,2
W,07074,00,metrosexual,M,136803,vali,63844,1
W,33259,70,hippie,M,024856,vali,18953,2
W,01896,10,sportivecasual,W,099950,vali,61269,2
W,24758,50,ivy,M,176084,vali,65218,1
W,27773,80,bold,M,144668,vali,64216,1
W,27773,80,bold,M,107102,vali,62155,1
W,06438,00,ecology,W,005765,vali,2177,2
W,19335,50,feminine,W,230432,vali,67789,1
W,10066,50,ivy,M,108303,vali,62256,1
T,04101,10,sportivecasual,W,147992,vali,64349,2
W,16738,50,ivy,M,135888,vali,63769,1
T,00253,60,popart,W,107429,vali,62192,1
T,21992,70,hippie,M,040790,vali,25630,2
W,13398,80,powersuit,W,032341,vali,22404,2
W,32407,60,mods,M,015355,vali,11616,1
W,17310,70,hippie,M,059817,vali,34943,2
W,06190,60,mods,M,089880,vali,59901,2
W,09152,60,mods,M,003392,vali,1609,2
W,16702,00,metrosexual,M,044504,vali,27866,1
W,16538,90,hiphop,M,035472,vali,23302,1
W,16444,10,sportivecasual,M,046129,vali,28481,1
W,12708,50,ivy,M,141052,vali,64054,1
W,18249,50,feminine,W,150985,vali,64503,1
W,23971,90,hiphop,M,144669,vali,64216,1
W,33305,60,space,W,008590,vali,4180,2
W,12462,90,hiphop,M,104338,vali,61818,2
W,27750,60,mods,M,210220,vali,66933,2
T,03522,19,normcore,M,073230,vali,53062,2
W,09001,10,athleisure,W,009785,vali,5130,2
W,12214,70,hippie,M,086062,vali,59466,1
W,15740,70,hippie,M,018973,vali,15251,2
W,18373,50,classic,W,229870,vali,67772,2
W,31478,19,normcore,M,146693,vali,64295,1
W,03624,10,sportivecasual,W,086920,vali,59627,1
W,06453,10,athleisure,W,017693,vali,13990,2
W,18160,50,classic,W,098793,vali,61145,1
W,18482,50,feminine,W,099034,vali,61167,2
W,34808,10,sportivecasual,W,158761,vali,64749,1
W,03587,10,sportivecasual,W,131008,vali,63608,2
W,15184,60,mods,M,125577,vali,63481,1
W,09085,60,minimal,W,111290,vali,62546,1
W,05851,70,punk,W,022754,vali,18587,2
W,09156,50,ivy,M,045496,vali,28358,2
W,01703,00,metrosexual,M,001038,vali,368,2
W,13781,60,minimal,W,119364,vali,63286,2
W,08139,10,athleisure,W,128165,vali,63538,1
W,04678,50,ivy,M,116615,vali,63060,2
W,09295,50,classic,W,124335,vali,63454,1
W,01552,19,normcore,M,132951,vali,63685,2
W,12524,00,metrosexual,M,111460,vali,62566,1
W,16219,70,hippie,M,087687,vali,59704,2
W,04324,90,hiphop,M,049367,vali,28912,1
W,10823,50,ivy,M,144965,vali,64229,1
W,19940,00,oriental,W,134796,vali,63742,1
W,15947,80,bold,M,077506,vali,56561,1
W,15248,50,ivy,M,104957,vali,61892,2
W,17874,80,bold,M,128582,vali,63547,1
W,13186,80,powersuit,W,122669,vali,63414,2
W,17655,80,bold,M,233627,vali,67973,2
W,16393,80,bold,M,038525,vali,24570,1
W,04670,10,sportivecasual,M,148342,vali,64364,2
W,33259,70,hippie,M,183206,vali,65579,1
W,00625,80,bodyconscious,W,110977,vali,62530,1
W,24109,60,mods,M,148346,vali,64364,1
T,21992,70,hippie,M,056901,vali,31811,1
W,05580,10,sportivecasual,W,005349,vali,2081,2
W,18714,90,kitsch,W,127457,vali,63523,1
W,24931,50,ivy,M,152476,vali,64550,2
W,17347,00,metrosexual,M,140415,vali,64027,1
W,13957,80,powersuit,W,004935,vali,2044,2
W,00539,10,sportivecasual,M,135066,vali,63748,1
W,13789,60,space,W,133483,vali,63710,1
W,25884,90,hiphop,M,151039,vali,64504,2
W,02394,10,sportivecasual,W,075149,vali,54279,2
W,13789,60,space,W,135469,vali,63759,1
W,16747,00,metrosexual,M,209689,vali,66898,1
W,02946,10,sportivecasual,M,135796,vali,63766,2
W,04349,00,metrosexual,M,233232,vali,67935,1
W,44789,80,powersuit,W,225087,vali,67597,1
W,02345,60,space,W,135276,vali,63753,2
W,26965,90,hiphop,M,142977,vali,64149,1
W,18058,50,classic,W,207071,vali,66824,2
W,05760,60,minimal,W,128235,vali,63540,1
T,16501,10,sportivecasual,M,107213,vali,62172,2
T,05321,50,classic,W,221627,vali,67496,2
W,08837,10,sportivecasual,W,029871,vali,20768,1
W,11256,80,bodyconscious,W,128500,vali,63545,1
W,64047,10,sportivecasual,W,207943,vali,66850,1
W,04622,60,mods,M,135419,vali,63757,2
W,16578,90,hiphop,M,093918,vali,60422,2
W,00012,50,ivy,M,103994,vali,61750,2
W,05851,70,punk,W,086541,vali,59506,2
W,04840,50,feminine,W,079196,vali,58031,2
T,13696,90,hiphop,W,209424,vali,66890,1
W,02277,80,bodyconscious,W,129431,vali,63569,1
W,24109,60,mods,M,195141,vali,66398,2
W,03293,19,normcore,W,134716,vali,63740,1
W,34024,10,sportivecasual,W,084442,vali,59193,1
W,24923,00,metrosexual,M,147841,vali,64345,1
W,25823,80,bold,M,065221,vali,45526,1
W,15716,90,hiphop,M,141497,vali,64068,1
W,17841,80,bold,M,003451,vali,1690,1
W,52693,00,metrosexual,M,213376,vali,67074,1
W,10820,50,ivy,M,121677,vali,63392,2
W,46459,80,powersuit,W,089148,vali,59843,1
W,07316,00,metrosexual,M,147483,vali,64324,1
W,15248,50,ivy,M,121702,vali,63392,2
W,24141,50,ivy,M,148020,vali,64350,1
W,00842,10,sportivecasual,M,086142,vali,59468,1
W,15295,60,mods,M,199119,vali,66550,2
W,17441,60,mods,M,064358,vali,44117,2
W,16430,90,hiphop,M,121052,vali,63375,1
W,23971,90,hiphop,M,027273,vali,19842,1
W,24643,90,hiphop,M,077540,vali,56561,1
W,23958,60,mods,M,114345,vali,62858,1
W,05941,60,popart,W,013430,vali,9096,1
W,16466,10,sportivecasual,M,084111,vali,59083,2
W,08913,10,athleisure,W,097626,vali,60995,2
W,18391,50,classic,W,028702,vali,20467,1
W,14923,60,minimal,W,062538,vali,40446,2
W,34080,70,hippie,M,013356,vali,8915,1
W,18095,90,kitsch,W,108098,vali,62237,1
W,07271,10,sportivecasual,M,091807,vali,60056,2
W,25940,10,sportivecasual,M,113279,vali,62759,1
W,27819,70,hippie,M,146047,vali,64272,1
W,13789,60,space,W,081714,vali,58570,1
W,24250,90,hiphop,M,077515,vali,56561,1
W,24517,70,hippie,M,149489,vali,64441,2
W,15745,80,bold,M,054543,vali,30330,1
W,04636,50,ivy,M,087685,vali,59704,2
W,16295,70,hippie,M,144742,vali,64221,1
W,06551,60,mods,M,185850,vali,65712,2
W,12567,60,mods,M,045738,vali,28437,1
W,03082,50,feminine,W,171921,vali,65071,1
W,14444,80,bodyconscious,W,133304,vali,63704,1
W,15270,60,mods,M,075069,vali,54264,1
W,06797,70,hippie,M,111524,vali,62571,2
W,19278,80,bodyconscious,W,078935,vali,57988,1
W,30593,50,ivy,M,152026,vali,64533,2
W,16283,90,hiphop,M,074856,vali,54207,2
W,17347,00,metrosexual,M,088499,vali,59812,1
W,17854,10,sportivecasual,M,045693,vali,28429,2
W,09877,50,ivy,M,062965,vali,41688,2
W,16690,60,mods,M,151936,vali,64531,1
W,06030,90,hiphop,W,123530,vali,63435,2
W,10768,00,ecology,W,029878,vali,20768,1
W,04207,50,ivy,M,135847,vali,63769,1
W,17623,19,normcore,M,094254,vali,60465,2
W,13957,80,powersuit,W,124821,vali,63463,1
T,10125,19,lounge,W,193491,vali,66301,2
W,08467,80,bodyconscious,W,087014,vali,59637,1
W,34080,70,hippie,M,147822,vali,64345,1
W,17333,19,normcore,M,137546,vali,63910,1
W,17235,60,mods,M,083117,vali,58839,1
W,32383,00,metrosexual,M,044866,vali,28046,1
W,14783,60,minimal,W,101424,vali,61443,1
W,12817,50,ivy,M,125584,vali,63481,2
W,23848,50,ivy,M,148708,vali,64395,2
W,19833,50,ivy,M,092605,vali,60184,1
W,09182,90,hiphop,M,101939,vali,61493,2
W,12102,80,bold,M,141480,vali,64068,1
W,23848,50,ivy,M,143148,vali,64153,2
W,12789,00,metrosexual,M,216396,vali,67224,2
W,05271,50,feminine,W,201059,vali,66614,2
W,17414,70,hippie,M,196850,vali,66471,2
W,61790,10,sportivecasual,W,069148,vali,50180,2
W,30027,50,ivy,M,162099,vali,64835,1
W,05321,80,bodyconscious,W,063467,vali,42485,2
W,14852,50,feminine,W,106389,vali,62069,2
W,09119,60,mods,M,099904,vali,61260,1
W,10429,60,minimal,W,016923,vali,13189,2
W,00012,50,ivy,M,055910,vali,30902,2
W,00829,10,sportivecasual,M,001848,vali,837,2
W,02170,50,feminine,W,200558,vali,66592,1
W,12668,10,sportivecasual,M,139709,vali,63992,2
W,09089,60,minimal,W,127893,vali,63533,2
T,21988,70,hippie,M,230589,vali,67794,2
W,19967,50,feminine,W,142274,vali,64115,1
W,13277,50,classic,W,006750,vali,2609,1
W,30559,50,ivy,M,145331,vali,64240,2
W,14417,10,sportivecasual,W,120371,vali,63359,1
W,02736,60,mods,M,092864,vali,60215,2
W,24647,70,hippie,M,142951,vali,64148,1
W,18391,50,classic,W,042914,vali,26992,2
W,05876,70,hippie,M,122284,vali,63406,2
W,17767,19,normcore,M,107181,vali,62168,2
W,25406,00,metrosexual,M,153148,vali,64571,1
W,12773,50,ivy,M,140668,vali,64040,2
W,00851,10,sportivecasual,M,018007,vali,14276,2
T,16485,10,sportivecasual,M,107209,vali,62172,1
W,07916,80,powersuit,W,126704,vali,63506,1
W,18094,60,space,W,045245,vali,28279,1
W,00865,90,hiphop,M,146749,vali,64296,2
W,15394,70,hippie,M,137807,vali,63917,1
W,03842,50,feminine,W,199518,vali,66561,1
T,16466,10,sportivecasual,M,079131,vali,58013,1
W,15701,90,hiphop,M,123099,vali,63426,1
W,52417,00,metrosexual,M,072634,vali,52702,1
T,16538,10,sportivecasual,M,107228,vali,62172,2
W,19207,19,lounge,W,086654,vali,59523,1
W,16755,00,metrosexual,M,167875,vali,64972,1
W,15520,70,hippie,M,105886,vali,61992,1
W,48687,60,mods,M,077133,vali,55927,1
W,26965,90,hiphop,M,233685,vali,67975,1
W,07290,50,ivy,M,117886,vali,63155,1
W,12214,70,hippie,M,126812,vali,63508,1
W,17619,00,metrosexual,M,088155,vali,59789,1
W,33329,50,ivy,M,098476,vali,61109,2
W,10079,60,mods,M,135028,vali,63748,1
W,04927,50,feminine,W,074287,vali,53738,2
W,12730,00,metrosexual,M,147825,vali,64345,1
W,12817,50,ivy,M,149876,vali,64460,2
W,08839,10,athleisure,W,043009,vali,27034,1
W,29251,10,sportivecasual,M,135416,vali,63757,1
W,12567,60,mods,M,214761,vali,67125,2
W,28563,90,hiphop,M,142778,vali,64142,1
W,06626,00,metrosexual,M,125556,vali,63481,1
W,25934,90,hiphop,M,023537,vali,18696,1
W,12298,70,hippie,M,028662,vali,20458,1
W,29897,60,mods,M,168525,vali,64989,2
W,18737,50,feminine,W,165660,vali,64924,2
W,24103,50,ivy,M,152768,vali,64557,2
W,02306,70,disco,W,004342,vali,2000,2
W,23958,60,mods,M,206153,vali,66797,2
W,01703,00,metrosexual,M,014308,vali,10061,1
W,26397,70,hippie,M,201502,vali,66636,1
W,10779,50,ivy,M,031946,vali,22324,1
T,06875,10,sportivecasual,W,091765,vali,60048,1
T,12378,80,powersuit,W,036680,vali,23671,2
W,10598,60,minimal,W,035742,vali,23383,2
W,27040,80,bold,M,154926,vali,64640,1
W,08866,10,sportivecasual,W,130983,vali,63608,2
W,25934,90,hiphop,M,147099,vali,64310,2
W,24838,70,hippie,M,053478,vali,29975,1
W,00103,70,hippie,M,138602,vali,63942,1
W,19559,00,oriental,W,126456,vali,63501,1
W,17738,80,bold,M,153138,vali,64571,1
W,33876,60,popart,W,068997,vali,50093,1
W,06917,19,normcore,M,126834,vali,63508,2
W,15998,80,bold,M,084100,vali,59083,1
W,07226,90,hiphop,M,109234,vali,62349,2
T,14225,00,cityglam,W,205706,vali,66784,2
W,33876,60,popart,W,047653,vali,28650,1
W,10125,70,hippie,M,013197,vali,8709,1
W,16452,70,hippie,M,068891,vali,50038,1
W,08754,70,military,W,096657,vali,60797,2
W,15340,50,ivy,M,091349,vali,60015,1
W,33002,60,mods,M,215515,vali,67172,1
W,15499,70,hippie,M,115257,vali,62931,1
W,07916,80,powersuit,W,041629,vali,26059,2
W,13359,80,powersuit,W,120393,vali,63359,1
W,01000,10,sportivecasual,W,120404,vali,63359,2
W,06797,70,hippie,M,046413,vali,28507,2
W,12904,50,ivy,M,021111,vali,17465,1
W,12725,70,hippie,M,027534,vali,19936,1
W,12817,50,ivy,M,001050,vali,368,2
W,30027,50,ivy,M,146711,vali,64295,2
T,15662,80,bold,M,061872,vali,38363,1
W,28314,10,sportivecasual,M,187504,vali,65803,1
W,10455,60,space,W,132476,vali,63654,1
W,11200,00,oriental,W,119526,vali,63303,1
W,16247,70,hippie,M,047125,vali,28571,1
W,24598,80,bold,M,234199,vali,68031,1
W,02095,60,popart,W,103636,vali,61696,1
W,03771,00,oriental,W,115402,vali,62952,1
W,24517,70,hippie,M,055552,vali,30726,2
W,09278,70,hippie,M,108471,vali,62264,2
W,30559,50,ivy,M,044085,vali,27627,2
W,10028,50,classic,W,128952,vali,63558,2
W,12247,80,bold,M,118423,vali,63207,1
W,16699,00,metrosexual,M,123848,vali,63443,1
W,15370,50,ivy,M,121686,vali,63392,2
W,07290,50,ivy,M,046756,vali,28530,1
W,15381,80,bold,M,136826,vali,63844,2
W,44520,70,punk,W,197739,vali,66513,1
W,19236,90,grunge,W,110969,vali,62525,2
W,11778,00,oriental,W,124465,vali,63456,1
W,17967,19,normcore,M,138210,vali,63930,1
W,51577,50,ivy,M,041022,vali,25676,2
W,12309,80,bold,M,045990,vali,28468,2
W,10125,70,hippie,M,117420,vali,63115,1
W,04927,50,feminine,W,235476,vali,68338,2
W,12002,60,minimal,W,126769,vali,63507,1
W,14783,60,minimal,W,007914,vali,3584,1
W,09877,50,ivy,M,138070,vali,63927,1
T,10455,00,ecology,W,112090,vali,62616,2
W,04973,90,kitsch,W,083646,vali,58956,1
W,05941,60,popart,W,101267,vali,61414,1
W,15497,70,hippie,M,088529,vali,59812,1
W,64047,10,sportivecasual,W,051987,vali,29578,1
W,28022,50,ivy,M,050862,vali,29256,2
W,02728,60,mods,M,212362,vali,67030,1
T,06502,10,sportivecasual,M,069574,vali,50610,1
W,13696,90,kitsch,W,110986,vali,62530,1
W,05868,50,ivy,M,048856,vali,28828,1
W,10783,50,ivy,M,139561,vali,63986,1
W,12410,70,hippie,M,144758,vali,64221,1
W,33240,80,bodyconscious,W,140896,vali,64047,1
W,08641,90,hiphop,W,115226,vali,62930,2
W,05619,00,ecology,W,129433,vali,63569,1
W,04836,50,feminine,W,130780,vali,63601,2
W,13304,80,powersuit,W,022367,vali,18437,1
W,06786,70,hippie,M,086130,vali,59468,1
W,32034,80,bold,M,156827,vali,64698,2
W,06626,00,metrosexual,M,069247,vali,50315,2
W,15120,60,mods,M,022025,vali,18262,1
W,08837,10,sportivecasual,W,127799,vali,63530,2
W,01933,50,feminine,W,009517,vali,4881,2
W,07490,80,powersuit,W,132503,vali,63654,2
W,61255,00,cityglam,W,165049,vali,64910,1
W,44321,80,bold,M,053285,vali,29914,1
W,09737,10,sportivecasual,W,133908,vali,63720,2
W,17603,50,ivy,M,143865,vali,64194,1
W,12746,00,metrosexual,M,202578,vali,66686,1
W,10079,60,mods,M,199144,vali,66550,1
T,04101,10,sportivecasual,W,204452,vali,66748,2
W,05818,90,lingerie,W,115426,vali,62952,1
W,17310,70,hippie,M,044691,vali,27926,1
W,03727,19,genderless,W,120372,vali,63359,2
W,15569,70,hippie,M,029941,vali,20796,1
W,15508,60,mods,M,052751,vali,29753,1
W,10253,90,grunge,W,110961,vali,62525,2
W,28373,80,powersuit,W,066270,vali,48082,1
W,15341,60,mods,M,082900,vali,58800,2
W,30591,50,ivy,M,080963,vali,58361,2
W,02770,90,hiphop,M,145427,vali,64246,1
W,12214,70,hippie,M,104361,vali,61818,1
W,04678,50,ivy,M,145640,vali,64257,2
W,04684,90,hiphop,M,122203,vali,63405,2
W,05321,80,bodyconscious,W,121212,vali,63379,1
W,14777,80,powersuit,W,125604,vali,63482,1
W,24647,70,hippie,M,196783,vali,66469,1
W,48457,60,minimal,W,218233,vali,67329,2
W,06875,90,hiphop,M,115267,vali,62931,1
W,01105,19,genderless,W,117951,vali,63156,1
W,15856,60,mods,M,119456,vali,63296,2
W,27765,60,mods,M,209233,vali,66886,2
W,00152,50,feminine,W,049219,vali,28863,2
W,11685,50,classic,W,161191,vali,64810,2
W,13104,50,classic,W,083749,vali,58969,2
W,12744,50,ivy,M,092572,vali,60184,1
W,16738,50,ivy,M,130886,vali,63605,2
W,05868,50,ivy,M,032698,vali,22463,2
W,26634,90,hiphop,M,112397,vali,62653,1
W,16032,80,bold,M,050539,vali,29196,1
W,10186,80,powersuit,W,123290,vali,63430,1
W,64332,80,powersuit,W,085429,vali,59321,2
W,05526,10,sportivecasual,W,135649,vali,63762,2
W,34436,60,space,W,096948,vali,60893,1
W,14796,60,minimal,W,131493,vali,63619,1
W,38489,80,powersuit,W,168058,vali,64976,2
W,23410,60,minimal,W,217526,vali,67298,2
W,06883,60,mods,M,080596,vali,58324,1
W,33284,90,kitsch,W,171950,vali,65071,1
W,03224,50,feminine,W,086614,vali,59523,1
W,36130,00,ecology,W,019779,vali,15830,1
W,11903,00,oriental,W,130776,vali,63601,1
W,16960,19,normcore,M,137646,vali,63913,1
W,10686,50,classic,W,108094,vali,62237,2
W,25202,90,hiphop,M,147665,vali,64336,1
W,14777,80,powersuit,W,063330,vali,42460,1
W,15740,70,hippie,M,045121,vali,28253,1
W,15440,70,hippie,M,095974,vali,60731,1
W,06438,00,ecology,W,133297,vali,63704,2
W,17603,50,ivy,M,012691,vali,7905,1
W,49765,50,ivy,M,095730,vali,60689,2
W,10598,60,minimal,W,053308,vali,29920,2
W,09182,90,hiphop,M,122161,vali,63404,1
W,15362,60,mods,M,015145,vali,11274,2
W,12708,50,ivy,M,138111,vali,63928,1
W,11509,80,bodyconscious,W,130019,vali,63582,1
W,11685,50,classic,W,051069,vali,29315,2
W,11778,00,oriental,W,027471,vali,19910,1
W,03791,70,disco,W,006777,vali,2609,1
W,11214,50,feminine,W,006279,vali,2320,2
W,29942,50,ivy,M,092060,vali,60071,2
W,10073,70,hippie,M,006652,vali,2574,1
W,19576,90,grunge,W,133692,vali,63715,1
W,15569,70,hippie,M,115731,vali,62987,1
W,25790,90,hiphop,M,107061,vali,62154,1
W,12635,70,hippie,M,138774,vali,63952,1
W,12112,80,bold,M,108447,vali,62264,1
W,25649,19,normcore,M,192785,vali,66231,1
W,16281,70,hippie,M,148322,vali,64364,1
W,15791,70,hippie,M,031931,vali,22324,1
W,24598,80,bold,M,186463,vali,65739,1
W,14787,60,minimal,W,120330,vali,63357,2
W,26324,70,hippie,M,143258,vali,64156,1
W,06148,50,ivy,M,060381,vali,35514,2
W,03587,10,sportivecasual,W,028442,vali,20412,1
W,09777,90,hiphop,M,231523,vali,67845,2
W,03447,70,military,W,094593,vali,60510,2
W,30431,80,powersuit,W,170186,vali,65029,1
W,38785,60,minimal,W,093604,vali,60291,2
W,15684,70,hippie,M,138344,vali,63934,1
W,00804,50,ivy,M,065956,vali,46631,2
W,03569,10,sportivecasual,W,027893,vali,20320,1
W,06214,90,hiphop,M,088070,vali,59778,1
W,26200,50,ivy,M,148328,vali,64364,2
W,10686,50,classic,W,013462,vali,9096,1
T,15440,10,sportivecasual,M,249936,vali,68891,2
W,14488,60,minimal,W,202695,vali,66689,2
W,13277,50,classic,W,123510,vali,63435,2
W,64047,10,sportivecasual,W,079778,vali,58251,1
W,08246,80,bodyconscious,W,128988,vali,63559,1
W,04395,80,bold,M,133056,vali,63696,1
T,17559,19,normcore,M,233000,vali,67916,2
W,08691,10,sportivecasual,W,124266,vali,63452,2
W,04678,50,ivy,M,109230,vali,62349,2
W,26288,70,hippie,M,037028,vali,23779,1
W,18093,00,ecology,W,062575,vali,41030,2
W,00152,50,feminine,W,209298,vali,66887,2
W,06531,60,mods,M,138054,vali,63927,2
W,15225,00,metrosexual,M,234201,vali,68031,2
W,08839,10,athleisure,W,134096,vali,63724,2
W,24130,60,mods,M,148701,vali,64395,1
W,15843,00,metrosexual,M,135073,vali,63748,2
W,14055,60,minimal,W,045187,vali,28271,1
W,16172,70,hippie,M,217469,vali,67293,1
W,03334,90,kitsch,W,133988,vali,63721,2
W,12725,70,hippie,M,132955,vali,63685,1
W,06214,90,hiphop,M,193316,vali,66280,1
W,07026,10,sportivecasual,M,153149,vali,64571,1
W,11423,00,ecology,W,110962,vali,62525,1
W,19158,90,kitsch,W,123505,vali,63435,2
W,00946,50,ivy,M,096830,vali,60882,2
W,06498,19,normcore,W,112009,vali,62611,2
W,09027,60,minimal,W,134858,vali,63744,1
W,08467,80,bodyconscious,W,129105,vali,63562,1
W,29347,80,bodyconscious,W,149362,vali,64433,2
W,01933,50,feminine,W,232528,vali,67886,2
W,43283,90,grunge,W,056870,vali,31728,1
W,18670,00,ecology,W,128791,vali,63555,2
W,29658,90,hiphop,M,098472,vali,61109,2
W,08262,50,feminine,W,122995,vali,63424,1
